datetime,close,percent_b
2020-02-05,80.3625,-0.045828
2020-02-04,79.7125,-0.111122
2020-02-03,77.165,0.0257849
2020-01-31,77.3775,0.0128391
2020-01-30,80.9675,0.141684
2020-01-29,81.085,0.00990485
2020-01-28,79.4225,0.0144289
2020-01-27,77.2375,0.0397159
2020-01-24,79.5775,0.0976712
2020-01-23,79.8075,0.0339843
2020-01-22,79.425,0.0817148
2020-01-21,79.1425,0.0467507
2020-01-17,79.6825,0.106647
2020-01-16,78.81,0.136506
2020-01-15,77.835,0.181203
2020-01-14,78.17,0.200163
2020-01-13,79.24,0.13654
2020-01-10,77.5825,0.0840358
2020-01-09,77.4075,0.102566
2020-01-08,75.7975,0.0810254
2020-01-07,74.5975,0.0865738
2020-01-06,74.95,0.20685
2020-01-03,74.3575,0.11771
2020-01-02,75.0875,0.0704003
2019-12-31,73.4125,0.0485711
2019-12-30,72.88,0.194399
2019-12-27,72.45,0.29623
2019-12-26,72.4775,0.331933
2019-12-24,71.0675,0.240188
2019-12-23,71,0.329078
2019-12-20,69.86,0.189311
2019-12-19,70.005,0.224648
2019-12-18,69.935,0.290001
2019-12-17,70.1025,0.437478
2019-12-16,69.965,0.504206
2019-12-13,68.7875,0.462856
2019-12-12,67.865,0.262858
2019-12-11,67.6925,0.42593
2019-12-10,67.12,0.232115
2019-12-09,66.73,0.276971
2019-12-06,67.6775,0.131248
2019-12-05,66.395,0.0831328
2019-12-04,65.435,-0.0252404
2019-12-03,64.8625,0.0317148
2019-12-02,66.04,0.0866937
2019-11-29,66.8125,0.0372162
2019-11-27,66.96,-0.207088
2019-11-26,66.0725,-0.234028
2019-11-25,66.5925,-0.0865933
2019-11-22,65.445,0.163182
2019-11-21,65.5025,0.124093
2019-11-20,65.7975,0.0838364
2019-11-19,66.5725,0.120978
2019-11-18,66.775,0.0793266
2019-11-15,66.44,0.13377
2019-11-14,65.66,0.068337
2019-11-13,66.1175,0.0893241
2019-11-12,65.49,0.106421
2019-11-11,65.55,0.165948
2019-11-08,65.035,0.206643
2019-11-07,64.8575,0.239578
2019-11-06,64.31,0.0960134
2019-11-05,64.2825,0.0548847
2019-11-04,64.375,0.0293735
2019-11-01,63.955,0.130988
2019-10-31,62.19,0.146779
2019-10-30,60.815,0.00670482
2019-10-29,60.8225,0.0255742
2019-10-28,62.2625,0.224108
2019-10-25,61.645,0.226223
2019-10-24,60.895,0.0986993
2019-10-23,60.795,0.164091
2019-10-22,59.99,0.223999
2019-10-21,60.1275,0.141435
2019-10-18,59.1025,0.200928
2019-10-17,58.82,0.193198
2019-10-16,58.5925,0.336603
2019-10-15,58.83,0.428398
2019-10-14,58.9675,0.358836
2019-10-11,59.0525,0.336279
2019-10-10,57.5225,0.267029
2019-10-09,56.7575,0.615125
2019-10-08,56.1,0.683749
2019-10-07,56.765,0.119903
2019-10-04,56.7525,-0.0336126
2019-10-03,55.205,-0.0517972
2019-10-02,54.74,0.0307435
2019-10-01,56.1475,-0.114757
2019-09-30,55.9925,-0.155397
2019-09-27,54.705,0.0657804
2019-09-26,54.9725,0.127448
2019-09-25,55.2575,0.0376517
2019-09-24,54.42,0.0487155
2019-09-23,54.68,0.180271
2019-09-20,54.4325,0.0885229
2019-09-19,55.24,0.459382
2019-09-18,55.6925,0.480885
2019-09-17,55.175,0.412331
2019-09-16,54.975,0.42974
2019-09-13,54.6875,0.287952
2019-09-12,55.7725,0.122809
2019-09-11,55.8975,0.180316
2019-09-10,54.175,0.514406
2019-09-09,53.5425,0.0438486
2019-09-06,53.315,0.115686
2019-09-05,53.32,0.286776
2019-09-04,52.2975,0.0572098
2019-09-03,51.425,0.0146965
2019-08-30,52.185,-0.0645885
2019-08-29,52.2525,0.471309
2019-08-28,51.3825,0.693731
2019-08-27,51.04,0.880813
2019-08-26,51.6225,0.667709
2019-08-23,50.66,0.699048
2019-08-22,53.115,0.59879
2019-08-21,53.16,0.581503
2019-08-20,52.59,0.676995
2019-08-19,52.5875,0.691883
2019-08-16,51.625,0.620963
2019-08-15,50.435,0.391554
2019-08-14,50.6875,0.540446
2019-08-13,52.2425,0.418206
2019-08-12,50.12,0.48982
2019-08-09,50.2475,0.515385
2019-08-08,50.8575,0.403564
2019-08-07,49.76,0.324189
2019-08-06,49.25,0.389331
2019-08-05,48.335,0.245683
2019-08-02,51.005,0.0636237
2019-08-01,52.1075,0.385255
2019-07-31,53.26,0.41318
2019-07-30,52.195,0.293238
2019-07-29,52.42,0.214337
2019-07-26,51.935,-0.0427386
2019-07-25,51.755,0.155572
2019-07-24,52.1675,0.193508
2019-07-23,52.21,-0.0812337
2019-07-22,51.805,0.184187
2019-07-19,50.6475,0.223032
2019-07-18,51.415,0.304786
2019-07-17,50.8375,0.18569
2019-07-16,51.125,0.265624
2019-07-15,51.3025,-0.058051
2019-07-12,50.825,-0.0596689
2019-07-11,50.4375,0.103789
2019-07-10,50.8075,0.149966
2019-07-09,50.31,0.223786
